label,text
"1","В дополнение к заявлениям для смены подписей (2-я группа, Зазуля А.А)."
"1","Доброе утро!В 20/07 подходите к 11:45 на второй этаж, ко входу в актовый зал!Приходите красивые и  с хорошим настроем для фотосессий."
"1","Добрый день!Направляю заявление Голиковой О.Н. на изготовление сертификата ЭП"
"0","братан, ты видел? новая игра просто отпад!"
"1","Сообщаю, что главный специалист отдела № 70 Ряпсых Д.Ю 30.05.2017 в 14.30 отправил в незашифрованном виде с почтового ящика  polohas@pts.com на почтовый ящик d.lebdasd@pts.com в файле ONPZ-ITSO-RD_newdsa.pdf информацию, содержащую признаки коммерческой тайны."
"1","Добрый день, Елена Дмитриевна Направляю Вам заявление на отзыв КЭП. Заранее спасибо!"
"0","хотелось бы, чтобы ты стал лучше?  экстремальный рост пениса http://www. Сирату. com/ss/жестокость подобна надежде: она рождается вечно.  Развлечение – это счастье тех, кто не умеет думать.  каждому свое. (suum cuique) всегда прощайте своих врагов; ничто их так не раздражает.  плохие новости ходят в сабо"
"1","Уважаемая Лариса Витальевна. 28.09.2013 в 16.10 с Вашего почтового ящика было отправлено письмо в незашифрованном виде на адрес larsd921@bc.com, содержащее персональные данные, что недопустимо по нашим нормативным документам."
"0","Найдите лучшую и самую дешевую аптеку в Интернете и сэкономьте 80 % по сравнению с такими торговыми марками, как reneval, bayer."
"0","отказ уведомление привет . это программа qmail-send по адресу mail-03. cdsnet. сеть .  Боюсь, мне не удалось доставить ваше сообщение по следующим адресам.  это постоянная ошибка; я сдался. извините, что не получилось.  :  извини"
"1","Форум 15 сентября больше, чем я думал. Цифромир 2020 — региональный ИТ-форум в Саратове (cifromir.ru) Просьба тем, кто поедет, отчитаться"
"0","последние новости мировых биотехнологий"
"1","Команда, Пожалуйста, не делитесь этой информацией вне нашей группы. Мы запускаем новый продукт в следующем месяце, и все детали должны оставаться внутри компании до официального анонса. "
"1","С 1 ноября вступает в силу новая политика удаленной работы. Пожалуйста, ознакомьтесь с документом, прикрепленным к этому письму."
"0","Привет, Катя! Как ты? Давно не виделись! Может, сходим на кофе в эти выходные?"
"0","Заработайте большие деньги на отчужденной недвижимости в вашем районе. Trinity Consulting, 1730 Redhill Ave."
"0","го на графа монте кристо, топ фильм. Говорят очень интересный, только долгий"
"1","Письмо от: Дэниел Кабила Письмо от: Дэниел Кабила Инвестиционное предложение.  дорогой"
"0","У нас дождь льет все залило, а у вас?"
"1","к вашему сведению, это наше последнее уведомление, мы стремились неоднократно связываться с вами и надеемся, что на этот раз вы ответите!  ваш текущий ипотечный кредит дает вам право на получение до 3 . Ставка на 70% ниже.  однако"
"0","Эй, как прошел твой день? Чем занималась?"
"0","Привет, Вась, как прошел отпуск? Где был на море?"
"0","Жень, какие у тебя планы на выходные? Погода супер!"
"0","слышал последние новости из мира технологий? Новая версия миджорни"
"0","сэкономьте свои деньги, приобретя OEM-программное обеспечение!  нужно программное обеспечение для вашего компьютера? просто посетите наш сайт"
"0","че пойдем сегодня в бар? пятница!"
"0","Давай устроим встречу в этом месяце? после я буду занят сильно"
"0","почтовый сервер, дорогой projecthoneypot @projecthoneypot. org: мы предлагаем пуленепробиваемый выделенный сервер: свежий ips 1024 МБ ram ddr p 4 3. Процессор 2 ГГц 72 ГБ SCSI выделенный 100 м оптоволокно неограниченная передача данных Linux / Windows / FreeBSD установка любого программного сервера в Китае цена: 599 долларов США. 00 в месяц вы можете использовать сервер для любого из следующих целей: прямая почтовая рассылка; рассылка через прокси; массовый хостинг; мы также можем предоставить целевой список адресов электронной почты в соответствии с вашим заказом."
"1","Дорогие коллеги, напоминаем о необходимости соблюдать правила конфиденциальности в отношении клиентских данных. Нарушение этих правил может привести к серьезным последствиям. Пожалуйста, ознакомьтесь с обновленной политикой, прикрепленной к этому письму. "
"0","Здравствуйте. успейте пройти опрос, посвященный поддержке семей с детьми в 2024 году. Ответы помогут вашей и другим семьям региона получить нужную помощь. пройти опрос"
"1","ion онлайн-уведомление о безопасности, уважаемый член банка Lasalle"
"1","Василий Федорович Обновлен статус вашего заявления по услуге выписка из элетронной трудовой книжки услуга оказана номер заявления №34502346601 организация СФР комментарий услуга оказана. открыть заявление"
"1","Олег Иванович На Госуслугах сформировано ваше заявление  по услуге получение налоговых уведомлений на Госуслугах номер заявления №98321543512 дата и время 15.09.2021 09.23 организация ФНС России"
"1","В ваш аккаут был выполнен вход Привет, Игорь В ваш аккаунт VK ID 16 июля 2023 в 17:52 был выполнен вход с устройства Android через сайт headhunter group москва"
"1","Подтвердите ваш почтовый адрес. просто подтверди email"
"0","Поздравляю, вы выиграли!  поздравляю!  официальное уведомление hpshum@hotmail. com вы были специально выбраны для регистрации на отдых во Флориде / Багамах!  Вам понравится: 8 дней/7 ночей проживания первого класса, действительного для 4 человек. Прокат автомобиля с неограниченным пробегом. Круиз с казино для взрослых. Замечательные достопримечательности Флориды!  намного больше. . .  кликните сюда !  (доступность ограничена), чтобы больше не получать от нас это или любое другое предложение."
"1","Ваш код для входа в систему vsu ctf: 893112. Никому не сообщайте"
"0","Христианский план медицинского страхования: мы предлагаем видение"
"0","Скидка более 80 % на все самые продаваемые игры для Windows. Подпишитесь на рассылку по электронной почте. Специальное предложение. Найдите программное обеспечение. 10 лучших новых игр уже в продаже! 1 Office Pro 20032 Windows XP Pro 3 Adobe Creative Suite Premium 4 Norton Antivirus 20055 Flash MX 20046 Corel Draw 127 Adobe Acrobat 7 . 08 Windows 2003 Server 9 псевдоним Maya 6 Wavefrtl 0 Adobe Premiere увидеть больше от этого производителя Microsoft Apple Software клиенты также купили эти другие товары. . . Microsoft Office Professional Edition * 2003 * Выбор Microsoft: см. другие варианты Прейскурантная цена: 899 долларов США. 00 цена: 69$. 99 вы экономите: 830 долларов. 01 (92%) доступность: доступна для мгновенной загрузки! код купона: ise 229 носитель: компакт-диск/загрузка системные требования | аксессуары | другие функции версий: анализируйте и управляйте бизнес-информацией, используя доступ к базам данных, обменивайтесь данными с другими системами, используя расширенную технологию XML, управляйте правилами обмена информацией с помощью усовершенствованной технологии irm, простыми в использовании мастерами для создания информационных бюллетеней по электронной почте и печатных маркетинговых материалов, более 20 предварительно отформатированных бизнес-отчетов. Рейтинг продаж: # 1. Доставка: международный / американский или через мгновенную загрузку. Срок действия купона: 30 июня."
"0","Привет! Как успехи с учебой? Не сложно?"
"0","не забудь про встречу в субботу! идем в театр оперы и балета"
"0","Максим спрашивает, на вечеринке в пятницу будешь?"
"1","обновите информацию о своем счете, уважаемый клиент банка Lasalle"
"1","Подозрительная попытка входа в аккаунт. Если это были не вы, измените пароль, чтобы обезопасить аккаунт Мы заботимся о вашей безопасности и в некоторых случаях проводим дополнительную проверку, чтобы злоумышленник не смог получить доступ к вашим данным"
"1","Ваш код для подтверждения входа в систему: 8203 если вы не запрашивали этот код, просто проигнорируйте письмо"
"1","Добрый день! Заказчик оплатил вашу работу по задаче №8321032. Деньги поступили на ваш баланс в Solar Staff. Для вывода денег зайдите в личный кабинет"
"1","+79012123212 Кевин, свяжись со мной, привет"
"0","возвращенное письмо: хост неизвестен (сервер имен: - - - - - - .net: хост не найден) исходное сообщение было получено во вторник"
"0","Enjoy Media (ejym) выходит на китайский рынок телевизионной рекламы Enjoy Media (ejym)"
"0","я думаю, вам может быть интересно, здравствуйте"
"0","инвестиционное/партнерское предложение, уважаемый партнер"
"0","используйте этот удобный процентный калькулятор, чтобы получить текущую информацию о ставках. yommc использует этот удобный процентный калькулятор, чтобы получить текущие данные о доступности ставок"
"1","добрый день! Извиняюсь, что с опозданием небольшим, направляю информацию запрашиваемую Приказом №542 от 13.2.2014 по отделу №18"
"1","справка Леонтьев Максим Григорьевич, 2001 года рождения Адреса г. Воронеж, ул. Лизюкова, д.23 , кв 24. Место работы: нет данных прошел следующие флюроографические обследования:"
"1","справка Большаковой Марине Викторовне 22.01.1977 года рождения в том, что он (она) действительно является собственником по адресу г. Сыктывкар ул. Ленина, д. 16, кв 2"
"1","ультразвуковое исследование почек фио больного: Коновалов С.Л. заключение: уз признаки незначительно выраженного микролипиды справа врач лыпенко В.А."
"0","Как ты? Слышала, у тебя новый проект?"
"0","Нужен ли мне адвокат, чтобы использовать эту систему и очистить записи моих звонков о просроченных платежах, которые прекращаются как вкопанные?  Мы разработали передовую систему проверенных стратегий, которая навсегда избавит кредиторов и сборщиков долгов от вашей спины. Наша программа прекращения долга юридически остановила взыскание долгов на миллионы долларов.  ознакомьтесь с нашей программой устранения здесь"
"0","Алён, привет! Как твой день? Надеюсь, все хорошо!"
"0","видел прикол из сериала слово пацана?"
"0","реально топ трек. Спасибо за находку!"
"0","Скажите этим вебкам-шлюшкам, что делать, чтобы их удалили, пожалуйста, нажмите здесь или просто ответьте на это письмо. ваш адрес будет удален и заблокирован от повторного добавления.  пожалуйста, прокрутите вниз до конца этого письма для получения более подробной информации.  все эти шоу сейчас в прямом эфире!  ahotsexycouple чувственность Candice sui_lei wild_cat azcple чего же ты ждешь? щелкните сейчас и скажите любой из этих женщин, что для вас сделать в прямом эфире на камеру. не стесняйся"
"0","Летняя распродажа легальных операционных систем. Информационный бюллетень по OEM-программному обеспечению. Мы предлагаем дешевые OEM-версии вашего самого популярного программного обеспечения.  OEM полностью легален – это означает, что вы покупаете зарегистрированную копию"
"1","Команда, Пожалуйста, не разглашайте информацию о предстоящем слиянии с компанией XYZ. Все детали будут обсуждены на следующей встрече, но необходимо сохранить это в секрете до официального объявления. С уважением,  Иван"
"0","Привет! У тебя есть свободное время для встречи, а то как не посмотрю все время ты работаешь)"
"0","Там еще одна песня вышла, не помню названия"
"0","Клип щас смотрю и думаю что музыка неплохая на самом деле. Почему многим не нравится?"
"0","как там твоя работа? Все устраивает? никто не бесит?)"
"0","Короче, все файлы в этом архиве. кинь в корень и запусти оттуда понял?"
"1","Добрый день!Направляю Сертификат"
"0","как дела? как спалось сегодня, зая?"
"0","Заявление на выпуск ЭП Сотрудника обработано"
"1","Команда, В связи с предстоящим внутренним аудитом, прошу вас не обсуждать результаты и процедуры за пределами нашей группы. Все детали будут предоставлены на специальной встрече. Спасибо за понимание"
"0","да это же все фотошоп, неужели не видно?!"
"0","Устали от высоких ставок по ипотеке – рефинансируйте сегодня.  дорогой домовладелец"
"1","я нездоров. сходил в больницу сказали что у меня пневмония, положили. буду на работе где-то недели через 2."
"0","Привет, симпотяжка. Готов забрать тебя отсюда"
"0","как ты там в офисе? У меня тут на пляже жара!"
"1","уведомление от скай банка № 6521 - 320719 - 9595 - 6540595 пользователей скай онлайн банкинга"
"0","хочешь, чтобы я был сверху? испытай этих мерзких шлюх! бесплатный доступ! нечего терять! ! кликните сюда"
"0","Не забудить поставить курицу в хололодильник и помыть посуду!"
"0","Цены на чернила тебя смутили? Может, лучше бы сэкономить до 80 % на принтере?"
"0","Насколько мне известно, эту книгу написал Лермонтов."
"0","посмотри, что Саша делает в своем общежитии! это же треш!!"
"1","Дорогие коллеги, Пожалуйста, обратите внимание, что информация о текущем судебном разбирательстве является строго конфиденциальной. Не делитесь ею с внешними сторонами или в социальных сетях."
"0","Вообще в Волгограде есть электробусы новые а Волжский это так маленький город"
"0","В каком месте ты август жарче нашел чем июль? единичные случаи"
"0","Я не так поняла слова начальника, и из-за этого нагрузила себя куда большей работой хех"
"0","Возвращаемся в скайп в таком случае"
"1","Прикрепленный финансовый отчет является строго конфиденциальным. Запрещено делиться им с посторонними лицами и обсуждать его содержание вне нашей компании."
"1","В связи с предстоящими повышениями, пожалуйста, не обсуждайте эту информацию с коллегами до официального объявления. Все детали будут представлены на следующей встрече."
"1","Обратите внимание, что информация о новом проекте должна оставаться внутри команды до момента официального запуска. Не делитесь ею с посторонними. Спасибо за понимание,  Сергей"
"1","Уважаемые коллеги, В связи с недавними инцидентами, мы вводим новые меры безопасности. Пожалуйста, не передавайте информацию о новых протоколах третьим лицам. Все подробности будут предоставлены на внутреннем семинаре."
"1","Исковое заявление о расторжении брака 12 января 2021 г. Истец вступил в брак с Ответчиком, что подтверждается свидетельством о заключении брака: серия"
"1","Единственный Участник Общества с ограниченной ответственностью - Гражданин Российской Федерации, Доскалиева Виктория Геннадьевна, 09.12.1987 Россия, г. Копейск, Юбилейная ул., д. 17 кв.83 паспорт:49 68 414846, выданный ОВД России по г. Копейск 15.11.2022 года, зарегистрированный по адресу: Россия, г. Копейск, Юбилейная ул., д. 17 кв.83 РЕШИЛ:1. Назначить на должность генерального директора Общества с ограниченной ответственностью Доскалиеву Викторию Геннадьевну. К исполнению обязанностей приступить с 21 июля 2019 г."
"1","А вот и ваши билеты Благодарим Вас за покупку билетов по маршруту: Придача (Воронеж Южный) — Москва (Павелецкий вокзал) на дату 10.12.2012 21:55 (МСК), вагон — №11, места — 038"
"0","Вы указаны в основных поисковых системах?  размещение вашего веб-сайта в поисковых системах может значительно увеличить ваши онлайн-продажи.  если вы вложили время и деньги в свой сайт"
"1","Уважаемый клиент, информируем вас об изменении режима работы нашего предприятия."
"1","Диджитал текнолоджис проводит собрание спикеров, которое состоится 11.09 в 13:30. Приглашаем принять участие"
"0","Обращаем ваше внимание, что в период c 11.08 по 20.08 все услуги нашего центра бесплатны для посетителей с детьми. Спешите воспользоваться выгодным предложением"
"0","уведомление о статусе доставки — эти получатели вашего сообщения были обработаны почтовым сервером: antoniobdantas@zipmail. ком. бр; неуспешный ; 4 . 4 . 7 (срок доставки истек)"""
"0","Так сиквел считается чуть ли не лучше оригинала"
"0","Ну это я насколько знаю через виндовс сервер делается с учетками, где ты им права раздаешь"
"0","привет, ты хочешь зарабатывать 1000 долларов или больше в неделю? могу подсказать - просто перейди по ссылке на чат и я всем поделюсь с тобой"
"0","Типо если только нам приехать 31 и уехать 1. А то негде просто ночевать"
"0","от хотя бы одну самую первую в альбоме послушай"
"0","ищешь хорошую ИТ-команду? мы занимаемся разработкой программного обеспечения!  Ищете хорошую команду?  Причин для найма профессиональной команды может быть множество - Если у вас активный онлайн-бизнес, и вы недовольны качеством вашей текущей поддержки."
"1","Сведения о заказчике кадастровых работ:В отношении физического лица, в том числе индивидуального предпринимателя: фамилия, имя, отчество(последнее – при наличии) Колесов Николай Иванович страховой номер индивидуального лицевого счета в системе обязательного пенсионного страхования Российской Федерации (СНИЛС) 118-443-788 54 , основной государственный регистрационный номер"
"1","СПРАВКА О НАЗНАЧЕННЫХ ПЕНСИЯХ И СОЦИАЛЬНЫХ ВЫПЛАТАХ Застрахованное лицо СОЛОДСКИЙ ВАЛЕНТИН ВЯЧЕСЛАВОВИЧ (дата рождения 16.04.1965)"
"1","Сведения о трудовой деятельности, предоставляемые из информационных ресурсов Фонда пенсионного и социального страхования Российской Федерации Сведения о зарегистрированном лице: Фамилия СКВОРЦОВА Имя ЛАРИСА Отчество КОНСТАНТИНОВГА Дата Рождения 15 июля 1996 года СНИЛС 353-247-711 71 Подано заявление о продолжении ведения трудовой книжки 17.07.2009 Дата подачи"
"0","Промышленные гиганты не могут сравниться с этой возможностью. Еще одно новаторское новостное сообщение от rlyc.  Потенциальный рынок дебетовых карт с сохраненной стоимостью только в Соединенных Штатах составляет около 150 миллионов человек."
"0","Получите 3 бесплатных билета на матч Ростов - Факел. ПОЛУЧИТЬ!"
"0","поч дружбан то?"
"1","У подруги мамы желудок болит в основном. Много куда ходила обследоваться и не могут понять, что с ней. Живот раздувает и то хоть поняли почему"
"1","У мамы Лены одна болезнь, которая сильно прогрессировала. Были в больнице и там сказали, что ей ни чем помочь не могут, оставлять там не хотят и выписали обезболивающее, потому что осталось ей не так долго. В общем очень все плохо."
"0","Факультет компьютерных наук Воронежского государственного университета приглашает абитуриентов, учащихся и их родителей на встречу с деканом ФКН А.А. Крыловецким 4 июля 2024 года (четверг), в 16.00. Место проведения - главный корпус ВГУ (Воронеж, Университетская пл., 1), актовый зал."
"0","Практика — двигатель прогресса Ежедневные занятия — залог успеха на пути к цели"
"0","Вы представили ответ на задание «Агентное моделирование в NetLogo».Вы можете просмотреть состояние представленного Вами ответа."
"1","Кто-то пытается войти в аккаунт n.olefas@shall.ru Если это не вы, измените пароль, чтобы обезопасить аккаунт."
"0","22 мая 2024 года вступают в силу обновленные Условия использования Google. Изменения не касаются использования сервисов Google. В условия добавлены разъяснения, чтобы вам было проще понять свои права и правила поведения при использовании наших сервисов, а также права и обязанности компании Google."
"0","Ваши онлайн-продажи низкие, потому что у вас недостаточно посетителей?  размещение вашего веб-сайта в поисковых системах может значительно увеличить ваши онлайн-продажи.  Если вы вложили время и деньги в свой сайт"
"0","Участвуйте в чемпионате «АртМастерс» Здравствуйте До 27 апреля 2024 г. подайте заявку на участие  в «АртМастерс» — национальном чемпионате  для специалистов сферы креативных индустрий и цифрового искусства. Участие в чемпионате бесплатное Общий призовой фонд составляет 36 млн ₽"
"0","Дорогие друзья! 23 - 26 апреля пройдет Первенство города Воронежа по спортивному программированию и компьютерной безопасности «VrnCTF-2024»"
"1","Введите свой персональный код в форму авторизации на сайте LUDING для подтверждения вашего адреса polo_dynyakov@inbox.ru. Ваш код авторизации: 8214"
"0","ПОЗДРАВЛЯЕМ С 23 ФЕВРАЛЯ! Настоящие мужчины – они как алмазы: самые крепкие и каждый – уникален. Подарите им ещё больше любви, нежности и заботы в этот особенный день."
"0","С праздником любви! Доп. до –25% на 18 000+ украшений"
"1","Для того, чтобы активировать аккаунт, проследуйте по ссылке сюда."
"0","Я хотел бы помочь вашим маркетинговым усилиям!  здравствуйте, коллега-предприниматель"
"1","Мы заметили, что в ваш аккаунт Google выполнен вход на устройстве Windows. Если это вы, ничего делать не нужно. А если нет, то мы поможем вам защитить аккаунт."
"1","никита, сегодня 12.02 - поздравляю с Днем Рождения!"
"0","отказ уведомление привет . это программа qmail-send в nsl. mxlinux 2. ком.  Боюсь, мне не удалось доставить ваше сообщение по следующим адресам.  это постоянная ошибка; я сдался. извините, что не получилось.  : этот адрес больше не принимает почту.  ---под этой строкой находится копия сообщения.  путь возврата: получено: (qmail 30891 вызван из сети); 19 июл 2005 10:57:17 - 0000 получено: от ntokymo 09176. оким. нт. адсл. ппп. информационная сеть. нэ. jp (helo mailwisconsin.com) (218.229.92.176) от wpc 2010. аминьмир. ком с smtp; 19 июл 2005 10:57:17 - 0000 получено: от 205. 214 . 42 . 66 (аутентифицированный пользователь squirrelmail projecthoneypot@projecthoneypot.org);  по почте Висконсин. com с http идентификатором j 87 gzo 24816188;  вторник"
"0","недоставленное письмо возвращается отправителю. Это постфиксная программа на хосте Relayl. сетевое пространство. сеть . ау.  Мне жаль, что я вынужден сообщить вам, что ваше сообщение не удалось доставить одному или нескольким получателям. оно прикреплено ниже.  для дальнейшей помощи"
"0","отличная идея для вас, ставки по ипотечным кредитам скоро повысятся!  Наши программы помогут вам: - консолидация долга - 2-я ипотека - рефинансирование - улучшение дома. Наша бесплатная услуга без каких-либо обязательств уже помогла тысячам домовладельцев."
"1","Здравствуйте, я Ирина Прохорова, мое портфолио - во вложении, пожалуйста, ознакомьтесь"
